resume_text,role
rest java docker python Worked on system Improved performance of sql Designed and implemented c++,Software Engineer
python java docker sql Led a project on team Built scalable python Worked on java reduced time by 42%,Software Engineer
ci/cd c++ python kubernetes Authored project Authored ci/cd Built scalable sql,Software Engineer
java rest kubernetes c++ Managed tooling Responsible for system Built scalable docker reduced time by 23%,Software Engineer
intern java docker microservices ci/cd Built scalable java Collaborated with automation Collaborated with team reduced time by 12%,Software Engineer
rest c++ docker ci/cd Built scalable java Implemented CI/CD microservices Developed team,Software Engineer
intern python docker c++ kubernetes Worked on project Designed and implemented tooling Improved performance of java,Software Engineer
ci/cd docker java rest Owned end-to-end project Collaborated with c++ Collaborated with docker reduced time by 27%,Software Engineer
c++ python microservices ci/cd Led a project on team Developed c++ Implemented CI/CD system reduced time by 39%,Software Engineer
c++ python kubernetes microservices Developed system Implemented CI/CD sql Developed docker,Software Engineer
intern c++ ci/cd microservices java Managed docker Built scalable microservices Led a project on sql,Software Engineer
docker c++ rest sql Designed and implemented project Owned end-to-end kubernetes Developed rest reduced time by 18%,Software Engineer
java microservices c++ sql Improved performance of system Optimized kubernetes Optimized kubernetes reduced time by 18%,Software Engineer
intern sql java microservices docker Led a project on c++ Developed c++ Managed project handled team of 8,Software Engineer
c++ microservices rest docker Owned end-to-end ci/cd Improved performance of ci/cd Worked on project,Software Engineer
rest python java sql Improved performance of tooling Developed docker Led a project on microservices,Software Engineer
docker java sql rest Authored microservices Implemented CI/CD tooling Responsible for ci/cd,Software Engineer
principal microservices java sql rest Implemented CI/CD team Designed and implemented c++ Collaborated with tooling reduced time by 59%,Software Engineer
ci/cd microservices java docker Optimized docker Owned end-to-end python Led a project on docker,Software Engineer
intern docker java python sql Designed and implemented team Led a project on java Authored rest,Software Engineer
ci/cd python microservices java Responsible for c++ Developed rest Implemented CI/CD c++ reduced time by 48%,Software Engineer
manager python c++ java rest Managed system Authored sql Authored microservices reduced time by 52%,Software Engineer
java c++ rest microservices Implemented CI/CD rest Led a project on sql Designed and implemented java reduced time by 47%,Software Engineer
docker rest java kubernetes Worked on java Authored project Worked on sql reduced time by 12%,Software Engineer
junior sql rest kubernetes java Improved performance of project Owned end-to-end sql Implemented CI/CD c++,Software Engineer
c++ ci/cd microservices java Designed and implemented tooling Owned end-to-end tooling Built scalable sql reduced time by 52%,Software Engineer
kubernetes microservices rest python Owned end-to-end automation Authored python Developed project handled team of 8,Software Engineer
kubernetes docker sql microservices Managed automation Led a project on sql Designed and implemented sql handled team of 4,Software Engineer
junior ci/cd docker sql java Led a project on rest Managed automation Implemented CI/CD java reduced time by 44%,Software Engineer
java python microservices ci/cd Managed automation Designed and implemented c++ Built scalable rest,Software Engineer
c++ python ci/cd kubernetes Responsible for kubernetes Worked on kubernetes Improved performance of tooling,Software Engineer
rest java kubernetes docker Authored tooling Implemented CI/CD project Authored rest reduced time by 28%,Software Engineer
principal python rest docker microservices Implemented CI/CD python Authored docker Worked on python,Software Engineer
docker sql microservices c++ Responsible for python Implemented CI/CD java Responsible for java,Software Engineer
intern python microservices sql c++ Optimized sql Optimized team Worked on team reduced time by 52%,Software Engineer
kubernetes c++ microservices docker Improved performance of sql Developed system Collaborated with sql reduced time by 18%,Software Engineer
senior rest java sql kubernetes Managed java Worked on rest Optimized team handled team of 5,Software Engineer
microservices java kubernetes ci/cd Responsible for docker Led a project on sql Collaborated with microservices reduced time by 44%,Software Engineer
microservices python java kubernetes Managed project Implemented CI/CD python Developed automation,Software Engineer
junior ci/cd rest sql kubernetes Improved performance of java Led a project on system Implemented CI/CD c++ reduced time by 48%,Software Engineer
principal c++ docker microservices java Developed automation Improved performance of ci/cd Owned end-to-end microservices,Software Engineer
lead docker java microservices ci/cd Improved performance of python Worked on docker Managed c++,Software Engineer
python sql java ci/cd Implemented CI/CD system Built scalable ci/cd Worked on java reduced time by 54%,Software Engineer
ci/cd rest kubernetes c++ Collaborated with team Implemented CI/CD c++ Built scalable c++ reduced time by 33%,Software Engineer
kubernetes microservices java rest Worked on docker Designed and implemented project Designed and implemented project reduced time by 59%,Software Engineer
java kubernetes rest ci/cd Optimized system Responsible for sql Responsible for tooling,Software Engineer
principal java ci/cd rest docker Collaborated with tooling Built scalable tooling Developed automation,Software Engineer
principal ci/cd docker java sql Led a project on kubernetes Worked on automation Owned end-to-end sql reduced time by 39%,Software Engineer
python microservices kubernetes sql Designed and implemented sql Worked on project Designed and implemented kubernetes reduced time by 14%,Software Engineer
principal docker python sql microservices Implemented CI/CD kubernetes Developed automation Implemented CI/CD docker handled team of 6,Software Engineer
senior kubernetes sql docker java Worked on java Optimized kubernetes Collaborated with system,Software Engineer
docker kubernetes ci/cd rest Led a project on kubernetes Optimized sql Improved performance of python handled team of 14,Software Engineer
java docker rest c++ Authored system Authored project Designed and implemented docker,Software Engineer
microservices sql rest python Optimized docker Developed automation Led a project on system,Software Engineer
microservices c++ kubernetes sql Collaborated with kubernetes Authored microservices Implemented CI/CD c++ reduced time by 52%,Software Engineer
rest java ci/cd kubernetes Responsible for team Optimized microservices Built scalable ci/cd,Software Engineer
director c++ python java rest Optimized team Developed docker Owned end-to-end rest,Software Engineer
python ci/cd docker rest Managed system Responsible for project Led a project on microservices,Software Engineer
director rest microservices docker java Managed sql Developed microservices Designed and implemented tooling reduced time by 11% handled team of 9,Software Engineer
rest c++ kubernetes sql Managed java Owned end-to-end kubernetes Developed team reduced time by 54%,Software Engineer
rest c++ microservices sql Responsible for project Authored python Managed automation handled team of 8,Software Engineer
director ci/cd java sql c++ Authored ci/cd Owned end-to-end python Implemented CI/CD sql handled team of 4,Software Engineer
sql ci/cd kubernetes java Developed ci/cd Implemented CI/CD team Collaborated with tooling,Software Engineer
microservices c++ java ci/cd Implemented CI/CD kubernetes Implemented CI/CD rest Responsible for system,Software Engineer
docker rest java c++ Developed microservices Managed tooling Implemented CI/CD rest,Software Engineer
senior python rest ci/cd c++ Designed and implemented microservices Collaborated with docker Implemented CI/CD java reduced time by 24%,Software Engineer
junior kubernetes rest ci/cd sql Led a project on kubernetes Built scalable docker Implemented CI/CD rest,Software Engineer
ci/cd microservices kubernetes java Managed team Authored python Managed team reduced time by 10%,Software Engineer
lead java sql kubernetes rest Built scalable ci/cd Authored system Implemented CI/CD tooling,Software Engineer
lead docker kubernetes microservices ci/cd Owned end-to-end python Built scalable docker Developed project,Software Engineer
sql docker python rest Responsible for team Implemented CI/CD python Built scalable team handled team of 12,Software Engineer
c++ python sql ci/cd Owned end-to-end c++ Worked on microservices Built scalable docker reduced time by 30%,Software Engineer
rest c++ python docker Improved performance of tooling Built scalable microservices Led a project on rest reduced time by 44% handled team of 7,Software Engineer
intern c++ ci/cd java kubernetes Managed project Worked on tooling Worked on sql reduced time by 11%,Software Engineer
lead microservices docker java sql Developed java Optimized sql Owned end-to-end system reduced time by 33% handled team of 11,Software Engineer
java c++ python sql Authored java Managed automation Responsible for microservices reduced time by 11%,Software Engineer
sql ci/cd java microservices Built scalable kubernetes Authored sql Led a project on team,Software Engineer
director java kubernetes sql python Improved performance of automation Developed team Managed java,Software Engineer
manager microservices kubernetes java ci/cd Built scalable project Collaborated with java Implemented CI/CD project reduced time by 36%,Software Engineer
senior java rest kubernetes docker Developed automation Owned end-to-end system Responsible for kubernetes reduced time by 43%,Software Engineer
director ci/cd c++ java docker Implemented CI/CD tooling Owned end-to-end rest Built scalable automation,Software Engineer
rest python sql c++ Led a project on microservices Owned end-to-end sql Managed rest,Software Engineer
lead rest c++ docker microservices Collaborated with c++ Owned end-to-end sql Collaborated with tooling reduced time by 27%,Software Engineer
c++ sql rest python Improved performance of ci/cd Worked on ci/cd Designed and implemented java reduced time by 36%,Software Engineer
ci/cd docker python sql Authored rest Developed system Owned end-to-end rest handled team of 5,Software Engineer
ci/cd c++ java rest Designed and implemented microservices Developed team Collaborated with rest,Software Engineer
rest python kubernetes java Implemented CI/CD docker Collaborated with system Owned end-to-end microservices reduced time by 24% handled team of 5,Software Engineer
principal python ci/cd sql java Implemented CI/CD tooling Authored c++ Designed and implemented sql,Software Engineer
rest java kubernetes c++ Managed ci/cd Optimized microservices Led a project on automation reduced time by 24%,Software Engineer
principal c++ java microservices rest Implemented CI/CD c++ Improved performance of python Worked on ci/cd reduced time by 18%,Software Engineer
kubernetes c++ python rest Led a project on automation Worked on team Improved performance of rest,Software Engineer
kubernetes java python sql Improved performance of automation Owned end-to-end java Led a project on kubernetes,Software Engineer
microservices kubernetes docker rest Responsible for c++ Managed team Improved performance of java handled team of 14,Software Engineer
java ci/cd rest sql Optimized tooling Optimized sql Managed ci/cd reduced time by 38%,Software Engineer
python c++ java ci/cd Built scalable microservices Optimized team Worked on team handled team of 14,Software Engineer
junior microservices c++ python docker Improved performance of project Led a project on c++ Designed and implemented c++ handled team of 8,Software Engineer
java kubernetes ci/cd microservices Optimized rest Improved performance of python Designed and implemented microservices,Software Engineer
kubernetes python c++ java Developed sql Improved performance of tooling Managed project,Software Engineer
intern ci/cd kubernetes sql rest Implemented CI/CD sql Developed c++ Improved performance of automation reduced time by 13% handled team of 6,Software Engineer
rest sql docker ci/cd Optimized microservices Owned end-to-end java Owned end-to-end system reduced time by 35%,Software Engineer
sql kubernetes rest docker Owned end-to-end rest Led a project on team Worked on kubernetes,Software Engineer
junior docker rest sql c++ Developed automation Optimized team Worked on tooling,Software Engineer
director java c++ ci/cd python Responsible for rest Implemented CI/CD project Owned end-to-end microservices reduced time by 47%,Software Engineer
kubernetes java sql python Led a project on rest Collaborated with kubernetes Collaborated with docker,Software Engineer
principal sql ci/cd kubernetes java Owned end-to-end microservices Developed kubernetes Managed ci/cd reduced time by 15%,Software Engineer
director rest microservices c++ ci/cd Built scalable automation Implemented CI/CD automation Worked on project,Software Engineer
manager python sql docker microservices Collaborated with team Managed rest Developed rest,Software Engineer
rest java kubernetes ci/cd Improved performance of rest Authored rest Led a project on python,Software Engineer
junior docker python sql c++ Improved performance of ci/cd Worked on ci/cd Built scalable java reduced time by 17%,Software Engineer
director python c++ kubernetes microservices Responsible for rest Authored microservices Implemented CI/CD system reduced time by 40%,Software Engineer
manager ci/cd docker microservices rest Responsible for kubernetes Designed and implemented team Implemented CI/CD system,Software Engineer
director sql ci/cd rest docker Built scalable docker Managed ci/cd Improved performance of automation reduced time by 56%,Software Engineer
c++ rest kubernetes microservices Developed rest Responsible for rest Implemented CI/CD rest reduced time by 45%,Software Engineer
kubernetes python sql ci/cd Collaborated with automation Designed and implemented system Designed and implemented team reduced time by 59%,Software Engineer
lead java docker python microservices Authored tooling Built scalable kubernetes Developed tooling,Software Engineer
sql python rest docker Worked on c++ Implemented CI/CD team Collaborated with automation reduced time by 38% handled team of 9,Software Engineer
junior c++ docker rest python Built scalable automation Developed c++ Led a project on rest,Software Engineer
ci/cd c++ kubernetes java Built scalable project Led a project on automation Collaborated with automation,Software Engineer
rest sql kubernetes ci/cd Developed system Managed rest Implemented CI/CD python,Software Engineer
java sql python microservices Improved performance of sql Authored java Built scalable java,Software Engineer
junior java kubernetes docker ci/cd Authored microservices Worked on python Collaborated with tooling reduced time by 32%,Software Engineer
manager python microservices kubernetes c++ Built scalable team Developed tooling Responsible for c++ reduced time by 49%,Software Engineer
kubernetes python rest sql Designed and implemented rest Optimized c++ Designed and implemented rest,Software Engineer
sql java python microservices Managed rest Improved performance of project Implemented CI/CD c++ reduced time by 32%,Software Engineer
lead kubernetes ci/cd java sql Authored microservices Owned end-to-end automation Improved performance of sql,Software Engineer
lead sql c++ rest microservices Optimized docker Optimized microservices Authored microservices reduced time by 52%,Software Engineer
director microservices docker kubernetes rest Developed tooling Authored python Optimized system,Software Engineer
director microservices rest c++ ci/cd Designed and implemented team Managed docker Designed and implemented project reduced time by 26%,Software Engineer
c++ python rest kubernetes Developed project Responsible for project Led a project on project,Software Engineer
java ci/cd sql python Optimized docker Authored c++ Led a project on microservices reduced time by 36% handled team of 4,Software Engineer
python rest c++ java Collaborated with ci/cd Implemented CI/CD microservices Responsible for microservices,Software Engineer
sql java ci/cd microservices Improved performance of system Collaborated with tooling Led a project on rest handled team of 5,Software Engineer
python ci/cd c++ microservices Authored project Built scalable automation Managed ci/cd reduced time by 60%,Software Engineer
intern microservices sql kubernetes java Owned end-to-end docker Developed system Developed microservices,Software Engineer
docker kubernetes ci/cd python Led a project on project Designed and implemented rest Worked on team,Software Engineer
kubernetes java microservices ci/cd Designed and implemented project Led a project on project Owned end-to-end system reduced time by 36% handled team of 2,Software Engineer
sql ci/cd c++ rest Improved performance of rest Led a project on java Designed and implemented ci/cd reduced time by 39%,Software Engineer
rest docker ci/cd java Authored ci/cd Built scalable team Authored system reduced time by 36%,Software Engineer
docker c++ ci/cd python Optimized kubernetes Improved performance of python Authored docker reduced time by 38%,Software Engineer
java sql c++ rest Led a project on project Collaborated with ci/cd Developed docker reduced time by 27% handled team of 3,Software Engineer
sql ci/cd java microservices Owned end-to-end java Developed sql Developed project handled team of 14,Software Engineer
junior sql kubernetes rest ci/cd Managed team Designed and implemented java Managed ci/cd reduced time by 23%,Software Engineer
director java ci/cd c++ kubernetes Responsible for tooling Optimized python Improved performance of automation,Software Engineer
java ci/cd kubernetes python Managed c++ Led a project on project Worked on c++ reduced time by 60%,Software Engineer
rest kubernetes microservices python Worked on c++ Improved performance of python Responsible for system handled team of 3,Software Engineer
microservices sql rest python Managed docker Implemented CI/CD team Led a project on rest,Software Engineer
director java c++ sql microservices Developed ci/cd Improved performance of rest Developed python reduced time by 40%,Software Engineer
python rest sql ci/cd Led a project on rest Authored rest Led a project on java reduced time by 19% handled team of 6,Software Engineer
microservices python ci/cd sql Optimized ci/cd Authored docker Built scalable team,Software Engineer
kubernetes microservices java ci/cd Led a project on tooling Authored java Developed project,Software Engineer
kubernetes docker sql java Built scalable rest Designed and implemented kubernetes Collaborated with automation,Software Engineer
lead docker kubernetes sql rest Collaborated with project Improved performance of docker Responsible for project handled team of 15,Software Engineer
lead ci/cd java c++ python Led a project on system Authored docker Managed c++,Software Engineer
microservices python ci/cd sql Collaborated with project Led a project on kubernetes Collaborated with automation,Software Engineer
python kubernetes ci/cd rest Authored python Improved performance of team Improved performance of docker reduced time by 42%,Software Engineer
microservices python docker sql Designed and implemented automation Led a project on docker Implemented CI/CD docker reduced time by 27%,Software Engineer
microservices kubernetes sql c++ Implemented CI/CD tooling Optimized team Developed project,Software Engineer
python java c++ kubernetes Authored microservices Worked on c++ Improved performance of system,Software Engineer
rest microservices c++ docker Responsible for automation Responsible for team Developed kubernetes reduced time by 57%,Software Engineer
principal sql kubernetes microservices java Implemented CI/CD sql Built scalable kubernetes Owned end-to-end docker reduced time by 29%,Software Engineer
ci/cd microservices java c++ Optimized team Led a project on python Responsible for c++ handled team of 3,Software Engineer
principal ci/cd java sql docker Built scalable rest Optimized rest Built scalable microservices reduced time by 42% handled team of 8,Software Engineer
principal kubernetes docker ci/cd c++ Developed team Owned end-to-end ci/cd Developed microservices reduced time by 35%,Software Engineer
junior sql python microservices kubernetes Improved performance of sql Managed c++ Managed microservices reduced time by 17% handled team of 13,Software Engineer
ci/cd kubernetes microservices sql Responsible for kubernetes Implemented CI/CD system Designed and implemented ci/cd,Software Engineer
java c++ kubernetes ci/cd Built scalable automation Authored python Built scalable python handled team of 7,Software Engineer
ci/cd kubernetes c++ python Optimized kubernetes Authored project Built scalable microservices reduced time by 11%,Software Engineer
manager microservices java kubernetes c++ Owned end-to-end automation Authored docker Led a project on kubernetes,Software Engineer
rest java sql docker Implemented CI/CD java Built scalable automation Improved performance of system reduced time by 31%,Software Engineer
principal kubernetes sql ci/cd java Led a project on ci/cd Implemented CI/CD sql Managed docker reduced time by 51%,Software Engineer
junior microservices ci/cd docker python Improved performance of sql Responsible for team Responsible for tooling handled team of 14,Software Engineer
java rest microservices ci/cd Owned end-to-end tooling Optimized tooling Optimized rest,Software Engineer
python microservices sql docker Optimized docker Developed docker Responsible for rest reduced time by 38%,Software Engineer
docker microservices ci/cd c++ Optimized python Collaborated with ci/cd Led a project on microservices handled team of 7,Software Engineer
sql java rest microservices Led a project on project Led a project on team Optimized ci/cd reduced time by 47%,Software Engineer
sql java rest ci/cd Worked on rest Managed team Developed sql reduced time by 40%,Software Engineer
microservices ci/cd python sql Owned end-to-end java Managed automation Collaborated with system reduced time by 51% handled team of 5,Software Engineer
ci/cd sql python c++ Owned end-to-end ci/cd Implemented CI/CD team Responsible for docker reduced time by 28%,Software Engineer
